Success,Tactic,Technique-name,ability-name,Technique-id,operation_fname,adversary_id,atomic_ordering,NAME
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Disable Windows Defender All'],defense-evasion :: T1562.001,operation__stockpile_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__b007f6e8-4a87-4440-8888-29ceab047d9b__SAVED_2024-03-10_113348,stockpile_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__b007f6e8-4a87-4440-8888-29ceab047d9b,['b007f6e8-4a87-4440-8888-29ceab047d9b'],['Disable Windows Defender All']
Initial-Success,defense-evasion,defense-evasion :: Impair Defenses: Disable or Modify Tools,defense-evasion :: ['Disable Windows Defender Real-Time Protection'],defense-evasion :: T1562.001,operation__stockpile_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__49470433-30ce-4714-a44b-bea9dbbeca9a__SAVED_2024-03-10_112457,stockpile_windows_depfalse_pshtrue__t1562_001__defense-evasion__impair_defenses-_disable_or_modify_tools__49470433-30ce-4714-a44b-bea9dbbeca9a,['49470433-30ce-4714-a44b-bea9dbbeca9a'],['Disable Windows Defender Real-Time Protection']
Initial-Success,credential-access,credential-access :: Unsecured Credentials: Credentials in Registry,credential-access :: ['Credentials in Registry - HKLM'],credential-access :: T1552.002,operation__stockpile_windows_depfalse_pshtrue__t1552_002__credential-access__unsecured_credentials-_credentials_in_registry__98e58fc4-3843-4511-89b1-50cb872e0c9b__SAVED_2024-03-10_105813,stockpile_windows_depfalse_pshtrue__t1552_002__credential-access__unsecured_credentials-_credentials_in_registry__98e58fc4-3843-4511-89b1-50cb872e0c9b,['98e58fc4-3843-4511-89b1-50cb872e0c9b'],['Credentials in Registry - HKLM']
Initial-Success,credential-access,credential-access :: Unsecured Credentials: Credentials in Registry,credential-access :: ['Credentials in Registry - HKCU'],credential-access :: T1552.002,operation__stockpile_windows_depfalse_pshtrue__t1552_002__credential-access__unsecured_credentials-_credentials_in_registry__3aad5312-d48b-4206-9de4-39866c12e60f__SAVED_2024-03-10_104923,stockpile_windows_depfalse_pshtrue__t1552_002__credential-access__unsecured_credentials-_credentials_in_registry__3aad5312-d48b-4206-9de4-39866c12e60f,['3aad5312-d48b-4206-9de4-39866c12e60f'],['Credentials in Registry - HKCU']
Initial-Success,privilege-escalation,privilege-escalation :: Abuse Elevation Control Mechanism: Bypass User Access Control,privilege-escalation :: ['UAC bypass registry'],privilege-escalation :: T1548.002,operation__stockpile_windows_depfalse_pshtrue__t1548_002__privilege-escalation__abuse_elevation_control_mechanism-_bypass_user_access_control__665432a4-42e7-4ee1-af19-a9a8c9455d0c__SAVED_2024-03-10_101355,stockpile_windows_depfalse_pshtrue__t1548_002__privilege-escalation__abuse_elevation_control_mechanism-_bypass_user_access_control__665432a4-42e7-4ee1-af19-a9a8c9455d0c,['665432a4-42e7-4ee1-af19-a9a8c9455d0c'],['UAC bypass registry']
Initial-Success,discovery,discovery :: Software Discovery,discovery :: ['Internet Explorer Version'],discovery :: T1518,operation__stockpile_windows_depfalse_pshtrue__t1518__discovery__software_discovery__c9be8043-a445-4cbf-b77b-ed7bb007fc7c__SAVED_2024-03-10_100504,stockpile_windows_depfalse_pshtrue__t1518__discovery__software_discovery__c9be8043-a445-4cbf-b77b-ed7bb007fc7c,['c9be8043-a445-4cbf-b77b-ed7bb007fc7c'],['Internet Explorer Version']
Initial-Success,discovery,discovery :: Software Discovery: Security Software Discovery,discovery :: ['Identify Firewalls'],discovery :: T1518.001,operation__stockpile_windows_depfalse_pshtrue__t1518_001__discovery__software_discovery-_security_software_discovery__8c06ebf8-bacf-486b-bd77-21ba8c5a5777__SAVED_2024-03-10_095611,stockpile_windows_depfalse_pshtrue__t1518_001__discovery__software_discovery-_security_software_discovery__8c06ebf8-bacf-486b-bd77-21ba8c5a5777,['8c06ebf8-bacf-486b-bd77-21ba8c5a5777'],['Identify Firewalls']
Initial-Success,discovery,discovery :: Software Discovery: Security Software Discovery,discovery :: ['Discover antivirus programs'],discovery :: T1518.001,operation__stockpile_windows_depfalse_pshtrue__t1518_001__discovery__software_discovery-_security_software_discovery__2dece965-37a0-4f70-a391-0f30e3331aba__SAVED_2024-03-10_010913,stockpile_windows_depfalse_pshtrue__t1518_001__discovery__software_discovery-_security_software_discovery__2dece965-37a0-4f70-a391-0f30e3331aba,['2dece965-37a0-4f70-a391-0f30e3331aba'],['Discover antivirus programs']
Initial-Success,impact,impact :: Endpoint Denial of Service,impact :: ['Disrupt WIFI'],impact :: T1499,operation__stockpile_windows_depfalse_pshtrue__t1499__impact__endpoint_denial_of_service__2fe2d5e6-7b06-4fc0-bf71-6966a1226731__SAVED_2024-03-10_005503,stockpile_windows_depfalse_pshtrue__t1499__impact__endpoint_denial_of_service__2fe2d5e6-7b06-4fc0-bf71-6966a1226731,['2fe2d5e6-7b06-4fc0-bf71-6966a1226731'],['Disrupt WIFI']
Initial-Success,discovery,discovery :: Virtualization/Sandbox Evasion: System Checks,discovery :: ['Virtual or Real'],discovery :: T1497.001,"operation__stockpile_windows_depfalse_pshtrue__t1497_001__discovery__virtualization,sandbox_evasion-_system_checks__5dc841fd-28ad-40e2-b10e-fb007fe09e81__SAVED_2024-03-10_003129","stockpile_windows_depfalse_pshtrue__t1497_001__discovery__virtualization,sandbox_evasion-_system_checks__5dc841fd-28ad-40e2-b10e-fb007fe09e81",['5dc841fd-28ad-40e2-b10e-fb007fe09e81'],['Virtual or Real']
