                           ,Secure_Rate ,Secured_Tactics_distribution                                                                                                                                                                                                                      ,Secured_TTPs_among_APT_GROUP_USED_TTPs
admin@338 (G0018)          ,9/12        ,"Counter({'discovery': 7, 'execution': 1, 'initial-access': 1})"                                                                                                                                                                                  ,"{'T1087.001', 'T1007', 'T1059.003', 'T1082', 'T1049', 'T1069.001', 'T1083', 'T1016', 'T1566.001'}"
Ajax Security Team (G0130) ,4/6         ,"Counter({'command-and-control': 1, 'credential-access': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                                                 ,"{'T1555.003', 'T1056.001', 'T1105', 'T1566.001'}"
APT-C-36 (G0099)           ,5/9         ,"Counter({'command-and-control': 1, 'defense-evasion': 1, 'execution': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                                   ,"{'T1053.005', 'T1059.005', 'T1027', 'T1105', 'T1566.001'}"
APT1 (G0006)               ,12/23       ,"Counter({'discovery': 6, 'collection': 2, 'credential-access': 1, 'execution': 1, 'initial-access': 1, 'lateral-movement': 1})"                                                                                                                  ,"{'T1087.001', 'T1021.001', 'T1003.001', 'T1135', 'T1007', 'T1059.003', 'T1049', 'T1005', 'T1016', 'T1057', 'T1119', 'T1566.001'}"
ALLANITE (G1000)           ,0/4         ,Counter()                                                                                                                                                                                                                                         ,set()
Andariel (G0138)           ,5/12        ,"Counter({'discovery': 2, 'collection': 1, 'command-and-control': 1, 'initial-access': 1})"                                                                                                                                                       ,"{'T1049', 'T1005', 'T1057', 'T1105', 'T1566.001'}"
Aoqin Dragon (G1007)       ,1/9         ,Counter({'discovery': 1})                                                                                                                                                                                                                         ,{'T1083'}
APT12 (G0005)              ,1/5         ,Counter({'initial-access': 1})                                                                                                                                                                                                                    ,{'T1566.001'}
APT16 (G0023)              ,0/1         ,Counter()                                                                                                                                                                                                                                         ,set()
APT17 (G0025)              ,0/2         ,Counter()                                                                                                                                                                                                                                         ,set()
APT29 (G0016)              ,36/116      ,"Counter({'defense-evasion': 9, 'discovery': 5, 'credential-access': 5, 'multiple': 5, 'execution': 4, 'command-and-control': 3, 'lateral-movement': 2, 'collection': 1, 'initial-access': 1, 'privilege-escalation': 1})"                        ,"{'T1547.001', 'T1078.003', 'T1021.001', 'T1105', 'T1649', 'T1059.001', 'T1087.002', 'T1053.005', 'T1005', 'T1057', 'T1070.004', 'T1133', 'T1566.001', 'T1562.002', 'T1082', 'T1021.002', 'T1555', 'T1562.001', 'T1027.006', 'T1070', 'T1070.008', 'T1562.004', 'T1482', 'T1555.003', 'T1548.002', 'T1059.005', 'T1036', 'T1047', 'T1003.002', 'T1059.003', 'T1546.003', 'T1083', 'T1090.001', 'T1553.005', 'T1071.001', 'T1552.004'}"
APT3 (G0022)               ,25/43       ,"Counter({'discovery': 7, 'multiple': 4, 'collection': 2, 'execution': 2, 'credential-access': 2, 'defense-evasion': 2, 'lateral-movement': 2, 'persistence': 2, 'command-and-control': 1, 'exfiltration': 1})"                                   ,"{'T1547.001', 'T1021.001', 'T1059.001', 'T1543.003', 'T1005', 'T1053.005', 'T1057', 'T1070.004', 'T1098', 'T1041', 'T1003.001', 'T1136.001', 'T1082', 'T1074.001', 'T1033', 'T1027', 'T1021.002', 'T1087.001', 'T1555.003', 'T1016', 'T1056.001', 'T1059.003', 'T1049', 'T1083', 'T1105'}"
APT30 (G0013)              ,1/2         ,Counter({'initial-access': 1})                                                                                                                                                                                                                    ,{'T1566.001'}
APT18 (G0026)              ,10/12       ,"Counter({'command-and-control': 3, 'defense-evasion': 2, 'discovery': 2, 'multiple': 2, 'execution': 1})"                                                                                                                                        ,"{'T1547.001', 'T1059.003', 'T1082', 'T1133', 'T1071.004', 'T1083', 'T1027', 'T1071.001', 'T1070.004', 'T1105'}"
APT19 (G0073)              ,11/21       ,"Counter({'discovery': 3, 'command-and-control': 2, 'defense-evasion': 2, 'multiple': 2, 'execution': 1, 'initial-access': 1})"                                                                                                                   ,"{'T1547.001', 'T1059.001', 'T1112', 'T1082', 'T1132.001', 'T1543.003', 'T1016', 'T1027', 'T1071.001', 'T1033', 'T1566.001'}"
APT28 (G0007)              ,25/86       ,"Counter({'collection': 5, 'defense-evasion': 4, 'multiple': 4, 'discovery': 3, 'credential-access': 3, 'execution': 2, 'command-and-control': 2, 'initial-access': 1, 'lateral-movement': 1})"                                                   ,"{'T1547.001', 'T1105', 'T1059.001', 'T1005', 'T1057', 'T1070.004', 'T1133', 'T1566.001', 'T1560', 'T1003.001', 'T1120', 'T1074.001', 'T1546.015', 'T1027', 'T1021.002', 'T1003', 'T1070.001', 'T1003.003', 'T1036', 'T1113', 'T1056.001', 'T1059.003', 'T1083', 'T1071.001', 'T1119'}"
