    ,APT_GROUP                  ,USED_TECHNIQUES_ID
  0 ,admin@338 (G0018)          ,"['T1087.001', 'T1059.003', 'T1203', 'T1083', 'T1036.005', 'T1069.001', 'T1566.001', 'T1082', 'T1016', 'T1049', 'T1007', 'T1204.002']"
  1 ,Ajax Security Team (G0130) ,"['T1555.003', 'T1105', 'T1056.001', 'T1566.001', 'T1566.003', 'T1204.002']"
  2 ,APT-C-36 (G0099)           ,"['T1059.005', 'T1105', 'T1036.004', 'T1571', 'T1027', 'T1588.002', 'T1566.001', 'T1053.005', 'T1204.002']"
  3 ,APT1 (G0006)               ,"['T1087.001', 'T1583.001', 'T1560.001', 'T1119', 'T1059.003', 'T1584.001', 'T1005', 'T1114.001', 'T1114.002', 'T1585.002', 'T1036.005', 'T1135', 'T1588.001', 'T1588.002', 'T1003.001', 'T1566.001', 'T1566.002', 'T1057', 'T1021.001', 'T1016', 'T1049', 'T1007', 'T1550.002']"
  4 ,ALLANITE (G1000)           ,"['T0817', 'T0852', 'T0865', 'T0859']"
  5 ,Andariel (G0138)           ,"['T1005', 'T1189', 'T1203', 'T1592.002', 'T1590.005', 'T1105', 'T1027.003', 'T1588.001', 'T1566.001', 'T1057', 'T1049', 'T1204.002']"
  6 ,Aoqin Dragon (G1007)       ,"['T1587.001', 'T1203', 'T1083', 'T1570', 'T1036.005', 'T1027.002', 'T1588.002', 'T1091', 'T1204.002']"
  7 ,APT12 (G0005)              ,"['T1568.003', 'T1203', 'T1566.001', 'T1204.002', 'T1102.002']"
  8 ,APT16 (G0023)              ,['T1584.004']
  9 ,APT17 (G0025)              ,"['T1583.006', 'T1585']"
 10 ,APT29 (G0016)              ,"['T1548.002', 'T1087', 'T1087.002', 'T1087.004', 'T1098.001', 'T1098.002', 'T1098.003', 'T1098.005', 'T1583.001', 'T1583.006', 'T1595.002', 'T1071.001', 'T1560.001', 'T1547.001', 'T1037', 'T1037.004', 'T1110.001', 'T1110.003', 'T1651', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.006', 'T1059.009', 'T1586.002', 'T1586.003', 'T1584.001', 'T1136.003', 'T1555', 'T1555.003', 'T1213', 'T1213.003', 'T1005', 'T1001.002', 'T1074.002', 'T1140', 'T1587.001', 'T1587.003', 'T1484.002', 'T1482', 'T1568', 'T1114.002', 'T1573', 'T1585.001', 'T1546.003', 'T1546.008', 'T1048.002', 'T1190', 'T1203', 'T1068', 'T1133', 'T1083', 'T1606.001', 'T1606.002', 'T1589.001', 'T1562.001', 'T1562.002', 'T1562.004', 'T1070', 'T1070.004', 'T1070.006', 'T1070.008', 'T1105', 'T1036', 'T1036.004', 'T1036.005', 'T1556.007', 'T1621', 'T1027.001', 'T1027.002', 'T1027.003', 'T1027.006', 'T1588.002', 'T1003.002', 'T1003.004', 'T1003.006', 'T1069', 'T1069.002', 'T1566.001', 'T1566.002', 'T1566.003', 'T1057', 'T1090.001', 'T1090.003', 'T1090.004', 'T1021.001', 'T1021.002', 'T1021.006', 'T1021.007', 'T1018', 'T1053.005', 'T1505.003', 'T1649', 'T1558.003', 'T1539', 'T1553.002', 'T1553.005', 'T1195.002', 'T1218.005', 'T1218.011', 'T1082', 'T1016.001', 'T1199', 'T1552.004', 'T1550', 'T1550.001', 'T1550.003', 'T1550.004', 'T1204.001', 'T1204.002', 'T1078', 'T1078.002', 'T1078.003', 'T1078.004', 'T1102.002', 'T1047']"
 11 ,APT3 (G0022)               ,"['T1087.001', 'T1098', 'T1560.001', 'T1547.001', 'T1110.002', 'T1059.001', 'T1059.003', 'T1136.001', 'T1543.003', 'T1555.003', 'T1005', 'T1074.001', 'T1546.008', 'T1041', 'T1203', 'T1083', 'T1564.003', 'T1574.002', 'T1070.004', 'T1105', 'T1056.001', 'T1104', 'T1095', 'T1027', 'T1027.002', 'T1027.005', 'T1003.001', 'T1069', 'T1566.002', 'T1057', 'T1090.002', 'T1021.001', 'T1021.002', 'T1018', 'T1053.005', 'T1218.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1552.001', 'T1204.001', 'T1078.002']"
 12 ,APT30 (G0013)              ,"['T1566.001', 'T1204.002']"
 13 ,APT18 (G0026)              ,"['T1071.001', 'T1071.004', 'T1547.001', 'T1059.003', 'T1133', 'T1083', 'T1070.004', 'T1105', 'T1027', 'T1053.002', 'T1082', 'T1078']"
 14 ,APT19 (G0073)              ,"['T1071.001', 'T1547.001', 'T1059', 'T1059.001', 'T1543.003', 'T1132.001', 'T1140', 'T1189', 'T1564.003', 'T1574.002', 'T1112', 'T1027', 'T1027.010', 'T1588.002', 'T1566.001', 'T1218.010', 'T1218.011', 'T1082', 'T1016', 'T1033', 'T1204.002']"
 15 ,APT28 (G0007)              ,"['T1134.001', 'T1098.002', 'T1583.001', 'T1583.006', 'T1595.002', 'T1071.001', 'T1071.003', 'T1560', 'T1560.001', 'T1119', 'T1547.001', 'T1037.001', 'T1110', 'T1110.001', 'T1110.003', 'T1059.001', 'T1059.003', 'T1092', 'T1586.002', 'T1213', 'T1213.002', 'T1005', 'T1039', 'T1025', 'T1001.001', 'T1074.001', 'T1074.002', 'T1030', 'T1140', 'T1189', 'T1114.002', 'T1573.001', 'T1546.015', 'T1048.002', 'T1567', 'T1190', 'T1203', 'T1211', 'T1068', 'T1210', 'T1133', 'T1083', 'T1589.001', 'T1564.001', 'T1564.003', 'T1070.001', 'T1070.004', 'T1070.006', 'T1105', 'T1056.001', 'T1559.002', 'T1036', 'T1036.005', 'T1498', 'T1040', 'T1027', 'T1588.002', 'T1137.002', 'T1003', 'T1003.001', 'T1003.003', 'T1120', 'T1566.001', 'T1566.002', 'T1598', 'T1598.003', 'T1542.003', 'T1057', 'T1090.002', 'T1090.003', 'T1021.002', 'T1091', 'T1014', 'T1113', 'T1505.003', 'T1528', 'T1218.011', 'T1221', 'T1199', 'T1550.001', 'T1550.002', 'T1204.001', 'T1204.002', 'T1078', 'T1078.004', 'T1102.002']"
 16 ,APT32 (G0050)              ,"['T1087.001', 'T1583.001', 'T1583.006', 'T1071.001', 'T1071.003', 'T1560', 'T1547.001', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1189', 'T1585.001', 'T1048.003', 'T1041', 'T1203', 'T1068', 'T1083', 'T1222.002', 'T1589', 'T1589.002', 'T1564.001', 'T1564.003', 'T1564.004', 'T1574.002', 'T1070.001', 'T1070.004', 'T1070.006', 'T1105', 'T1056.001', 'T1570', 'T1036', 'T1036.003', 'T1036.004', 'T1036.005', 'T1112', 'T1046', 'T1135', 'T1571', 'T1027', 'T1027.001', 'T1027.010', 'T1027.011', 'T1588.002', 'T1137', 'T1003', 'T1003.001', 'T1566.001', 'T1566.002', 'T1598.003', 'T1055', 'T1012', 'T1021.002', 'T1018', 'T1053.005', 'T1505.003', 'T1072', 'T1608.001', 'T1608.004', 'T1218.005', 'T1218.010', 'T1218.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1216.001', 'T1569.002', 'T1552.002', 'T1550.002', 'T1550.003', 'T1204.001', 'T1204.002', 'T1078.003', 'T1102', 'T1047']"
 17 ,APT33 (G0064)              ,"['T1071.001', 'T1560.001', 'T1547.001', 'T1110.003', 'T1059.001', 'T1059.005', 'T1555', 'T1555.003', 'T1132.001', 'T1573.001', 'T1546.003', 'T1048.003', 'T1203', 'T1068', 'T1105', 'T1040', 'T1571', 'T1027', 'T1588.002', 'T1003.001', 'T1003.004', 'T1003.005', 'T1566.001', 'T1566.002', 'T1053.005', 'T1552.001', 'T1552.006', 'T1204.001', 'T1204.002', 'T1078', 'T1078.004']"
 18 ,APT37 (G0067)              ,"['T1548.002', 'T1071.001', 'T1123', 'T1547.001', 'T1059', 'T1059.003', 'T1059.005', 'T1059.006', 'T1555.003', 'T1005', 'T1561.002', 'T1189', 'T1203', 'T1105', 'T1559.002', 'T1036.001', 'T1106', 'T1027', 'T1027.003', 'T1120', 'T1566.001', 'T1057', 'T1055', 'T1053.005', 'T1082', 'T1033', 'T1529', 'T1204.002', 'T1102.002']"
 19 ,APT38 (G0082)              ,"['T1071.001', 'T1217', 'T1110', 'T1115', 'T1059.001', 'T1059.003', 'T1059.005', 'T1543.003', 'T1485', 'T1486', 'T1005', 'T1565.001', 'T1565.002', 'T1565.003', 'T1561.002', 'T1189', 'T1083', 'T1562.003', 'T1562.004', 'T1070.001', 'T1070.004', 'T1070.006', 'T1105', 'T1056.001', 'T1112', 'T1106', 'T1135', 'T1027.002', 'T1588.002', 'T1566.001', 'T1057', 'T1053.003', 'T1053.005', 'T1505.003', 'T1518.001', 'T1218.001', 'T1218.011', 'T1082', 'T1049', 'T1033', 'T1569.002', 'T1529', 'T1204.002']"
